Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""1s.(2S).2s.2p2.(4P)""","=""3P""","=""0""","="" 118.16a""","=""0.10""","=""L9172"""
"=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""2""","="" 118.32a""","=""0.10""","=""L9172"""
"=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""3""","="" 118.32a""","=""0.14""","=""L9172"""
"=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""1""","="" 118.32a""","=""0.07""","=""L9172"""
"=""1s.(2S).2s.2p2.(2S)""","=""3S""","=""1""","="" 119.913a""","=""0.022""","=""L9172"""
"=""1s.(2S).2s.2p2.(2P)""","=""3P""","=""2""","="" 121.18a""","=""0.04""","=""L9172"""
"=""1s.(2S).2s.2p2.(2P)""","=""3P""","=""0""","="" 121.18a""","=""0.05""","=""L9172"""
"=""1s.(2S).2s.2p2.(2P)""","=""3P""","=""1""","="" 121.18a""","=""0.04""","=""L9172"""
"=""1s.2s2.3p""","=""1P*""","=""1""","="" 121.398a""","=""0.024""","=""L9172"""
"=""1s.(2S).2p3.(4S*)""","=""5S*""","=""2""","="" 122.02+x""","=""0.04""","=""L9172"""
"=""1s.(2S).2s.2p2.(2P)""","=""1P""","=""1""","="" 122.24a""","=""0.20""","=""L9172"""
"=""1s.2s2.4p?""","=""1P*?""","=""1""","="" 122.514a""","=""0.025""","=""L9172"""
"=""1s.2s2.5p?""","=""1P*?""","=""1""","="" 122.93a""","=""0.06""","=""L9172"""
"=""1s.(2S).2s.2p.(3P*).3p""","=""5P""","=""1""","="" 122.95+y""","=""0.04""","=""L9172"""
"=""1s.(2S).2s.2p.(3P*).3p""","=""5P""","=""2""","="" 122.95+y""","=""0.04""","=""L9172"""
"=""1s.(2S).2s.2p.(3P*).3p""","=""5P""","=""3""","="" 122.95+y""","=""0.04""","=""L9172"""
"=""Be II (1s.2s2 2S<1/2>)""","=""Limit""","=""---""","="" 123.64""","=""0.10""","=""L9172"""
"=""1s.(2S).2s.2p.(3P*).4p""","=""5P""","=""3""","="" 124.07+z""","=""0.04""","=""L9172"""
"=""1s.(2S).2s.2p.(3P*).4p""","=""5P""","=""1""","="" 124.07+z""","=""0.04""","=""L9172"""
"=""1s.(2S).2s.2p.(3P*).4p""","=""5P""","=""2""","="" 124.07+z""","=""0.04""","=""L9172"""
"=""1s.(2S).2s.2p.(3P*).3s""","=""1P*""","=""1""","="" 125.15a""","=""0.12""","=""L9172"""
