Configuration,Term,J,Level (eV),Uncertainty (eV),Leading percentages,Reference
"=""3s2.3p3.(2D*<3/2>).18f""","=""""","=""""","="" 12.15969""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).20s""","=""3D*""","=""1""","="" 12.1620""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).20s""","=""3D*""","=""3""","="" 12.1620""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).20s""","=""3D*""","=""2""","="" 12.1620""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<5/2>).18f""","=""""","=""""","="" 12.16362""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).21s""","=""3D*""","=""1""","="" 12.1661""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).21s""","=""3D*""","=""3""","="" 12.1661""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).21s""","=""3D*""","=""2""","="" 12.1661""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).22s""","=""3D*""","=""1""","="" 12.1697""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).22s""","=""3D*""","=""3""","="" 12.1697""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).22s""","=""3D*""","=""2""","="" 12.1697""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).18s""","=""3D*""","=""2""","="" 12.2""","=""1.2""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).18s""","=""3D*""","=""1""","="" 12.2""","=""1.2""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).18s""","=""3D*""","=""3""","="" 12.2""","=""1.2""","=""                                            ""","="""""
"=""S II (3p3 2D*<3/2>)""","=""Limit""","=""---""","="" 12.20153""","=""""","=""                                            ""","="""""
"=""S II (3p3 2D*<5/2>)""","=""Limit""","=""---""","="" 12.20548""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).4d""","=""3P*""","=""0""","="" 12.436a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).4d""","=""3P*""","=""2""","="" 12.436a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).4d""","=""3P*""","=""1""","="" 12.436a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).4d""","=""3D*""","=""2""","="" 12.465a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).4d""","=""3D*""","=""1""","="" 12.465a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).4d""","=""3D*""","=""3""","="" 12.465a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).6s""","=""3P*""","=""2""","="" 12.52a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).6s""","=""3P*""","=""1""","="" 12.52a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).6s""","=""3P*""","=""0""","="" 12.52a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).5d""","=""3P*""","=""2""","="" 12.794a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).5d""","=""3P*""","=""1""","="" 12.794a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).5d""","=""3P*""","=""0""","="" 12.794a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).5d""","=""3D*""","=""3""","="" 12.816a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).5d""","=""3D*""","=""2""","="" 12.816a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).5d""","=""3D*""","=""1""","="" 12.816a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).7s""","=""3P*""","=""1""","="" 12.845a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).7s""","=""3P*""","=""0""","="" 12.845a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).7s""","=""3P*""","=""2""","="" 12.845a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).6d""","=""3P*""","=""0""","="" 12.986a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).6d""","=""3P*""","=""2""","="" 12.986a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).6d""","=""3P*""","=""1""","="" 12.986a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).6d""","=""3D*""","=""1""","="" 13.002a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).6d""","=""3D*""","=""3""","="" 13.002a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).6d""","=""3D*""","=""2""","="" 13.002a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).8s""","=""3P*""","=""0""","="" 13.02a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).8s""","=""3P*""","=""2""","="" 13.02a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).8s""","=""3P*""","=""1""","="" 13.02a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).7d""","=""3P*""","=""1""","="" 13.100a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).7d""","=""3P*""","=""0""","="" 13.100a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).7d""","=""3P*""","=""2""","="" 13.100a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).7d""","=""3D*""","=""3""","="" 13.110a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).7d""","=""3D*""","=""2""","="" 13.110a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).7d""","=""3D*""","=""1""","="" 13.110a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).9s""","=""3P*""","=""2""","="" 13.127a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).9s""","=""3P*""","=""1""","="" 13.127a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).9s""","=""3P*""","=""0""","="" 13.127a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).8d""","=""3P*""","=""0""","="" 13.1728""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).8d""","=""3P*""","=""2""","="" 13.1728""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).8d""","=""3P*""","=""1""","="" 13.1728""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).8d""","=""3D*""","=""2""","="" 13.181a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).8d""","=""3D*""","=""1""","="" 13.181a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).8d""","=""3D*""","=""3""","="" 13.181a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).10s""","=""3P*""","=""0""","="" 13.188a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).10s""","=""3P*""","=""2""","="" 13.188a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).10s""","=""3P*""","=""1""","="" 13.188a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).9d""","=""3P*""","=""0""","="" 13.2185""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).9d""","=""3P*""","=""2""","="" 13.2185""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).9d""","=""3P*""","=""1""","="" 13.2185""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).10d""","=""3P*""","=""0""","="" 13.258""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).10d""","=""3P*""","=""2""","="" 13.258""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).10d""","=""3P*""","=""1""","="" 13.258""","=""""","=""                                            ""","="""""
